rep,proto,ber,e2e_delay,vel,time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
1,cubic,1000000,10000,500000kbps,20230919213553.402,10.0.3.20,56840,10.0.0.20,5001,3,0.0-30.3,137232384,36214322
1,cubic,1000000,100000,500000kbps,connect failed: Network is unreachable
1,cubic,1000000,10000,700000kbps,20230919213851.962,10.0.3.20,57770,10.0.0.20,5001,3,0.0-30.6,119406592,31177589
1,cubic,1000000,100000,700000kbps,connect failed: Network is unreachable
2,reno,100000,10000,500000kbps,20230919214153.926,10.0.3.20,40392,10.0.0.20,5001,3,0.0-30.2,12582912,3336152
2,reno,100000,100000,500000kbps,20230919214340.638,10.0.3.20,34020,10.0.0.20,5001,3,0.0-31.6,1703936,430731
2,reno,100000,10000,700000kbps,20230919214422.508,10.0.3.20,60852,10.0.0.20,5001,3,0.0-30.1,13238272,3520478
2,reno,100000,100000,700000kbps,connect failed: Network is unreachable
2,reno,1000000,10000,500000kbps,20230919214724.129,10.0.3.20,59646,10.0.0.20,5001,3,0.0-30.0,53870592,14364325
2,reno,1000000,100000,500000kbps,20230919214835.583,10.0.3.20,39254,10.0.0.20,5001,3,0.0-30.4,1668432,439119
2,reno,1000000,10000,700000kbps,connect failed: Network is unreachable
2,reno,1000000,100000,700000kbps,20230919215029.523,10.0.3.20,42024,10.0.0.20,5001,3,0.0-30.9,22544384,5832829
2,cubic,100000,10000,500000kbps,20230919215109.553,10.0.3.20,60914,10.0.0.20,5001,3,0.0-30.1,12582912,3346040
2,cubic,100000,100000,500000kbps,20230919215257.127,10.0.3.20,47212,10.0.0.20,5001,3,0.0-33.1,1441792,348243
2,cubic,100000,10000,700000kbps,20230919215338.200,10.0.3.20,57088,10.0.0.20,5001,3,0.0-30.5,10485760,2746726
2,cubic,100000,100000,700000kbps,20230919215527.191,10.0.3.20,36126,10.0.0.20,5001,3,0.0-35.7,3014656,674989
2,cubic,1000000,10000,500000kbps,20230919215607.478,10.0.3.20,52894,10.0.0.20,5001,3,0.0-30.5,73793536,19374544
2,cubic,1000000,100000,500000kbps,20230919215751.777,10.0.3.20,43572,10.0.0.20,5001,3,0.0-30.8,10485760,2722200
2,cubic,1000000,10000,700000kbps,20230919215832.494,10.0.3.20,40146,10.0.0.20,5001,3,0.0-30.6,88866816,23217041
2,cubic,1000000,100000,700000kbps,20230919220017.708,10.0.3.20,45480,10.0.0.20,5001,3,0.0-31.3,16515072,4215840
3,reno,100000,10000,500000kbps,20230919220058.613,10.0.3.20,35430,10.0.0.20,5001,3,0.0-30.1,13631488,3620400
3,reno,100000,100000,500000kbps,20230919220243.231,10.0.3.20,50286,10.0.0.20,5001,3,0.0-31.5,1441792,366719
3,reno,100000,10000,700000kbps,20230919220323.743,10.0.3.20,39610,10.0.0.20,5001,3,0.0-30.1,12582912,3348214
3,reno,100000,100000,700000kbps,20230919220510.517,10.0.3.20,52080,10.0.0.20,5001,3,0.0-33.3,2228224,534861
3,reno,1000000,10000,500000kbps,20230919220552.853,10.0.3.20,52296,10.0.0.20,5001,3,0.0-30.6,101842944,26626985
3,reno,1000000,100000,500000kbps,20230919220738.781,10.0.3.20,43212,10.0.0.20,5001,3,0.0-32.1,9043968,2254845
3,reno,1000000,10000,700000kbps,20230919220818.877,10.0.3.20,58260,10.0.0.20,5001,3,0.0-30.2,83492864,22097120
3,reno,1000000,100000,700000kbps,20230919221007.403,10.0.3.20,60822,10.0.0.20,5001,3,0.0-35.3,9175040,2079125
3,cubic,100000,10000,500000kbps,20230919221047.439,10.0.3.20,54366,10.0.0.20,5001,3,0.0-30.0,10878976,2899749
3,cubic,100000,100000,500000kbps,
