rep,proto,ber,e2e_delay,vel,time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
3,cubic,100000,10000,700000kbps,20230905212618.940,10.0.3.20,53976,10.0.0.20,5001,3,0.0-10.4,3276800,2517434
3,cubic,100000,100000,700000kbps,20230905212743.448,10.0.3.20,60808,10.0.0.20,5001,3,0.0-10.4,655360,505081
3,cubic,1000000,10000,500000kbps,20230905212804.786,10.0.3.20,42312,10.0.0.20,5001,3,0.0-10.5,57802752,43941950
3,cubic,1000000,100000,500000kbps,20230905212855.650,10.0.3.20,46626,10.0.0.20,5001,3,0.0-11.4,4063232,2846920
3,cubic,1000000,10000,700000kbps,20230905212916.646,10.0.3.20,56060,10.0.0.20,5001,3,0.0-10.1,42467328,33538929
3,cubic,1000000,100000,700000kbps,connect failed: Network is unreachable
4,reno,100000,10000,500000kbps,20230905212945.999,10.0.3.20,43982,10.0.0.20,5001,3,0.0-10.0,3932160,3141854
4,reno,100000,100000,500000kbps,20230905213035.831,10.0.3.20,49432,10.0.0.20,5001,3,0.0-10.2,655360,512767
4,reno,100000,10000,700000kbps,20230905213056.662,10.0.3.20,53770,10.0.0.20,5001,3,0.0-10.1,5111808,4066209
4,reno,100000,100000,700000kbps,20230905213223.627,10.0.3.20,43472,10.0.0.20,5001,3,0.0-14.1,519888,295393
4,reno,1000000,10000,500000kbps,20230905213244.813,10.0.3.20,54214,10.0.0.20,5001,3,0.0-10.3,52559872,40700924
4,reno,1000000,100000,500000kbps,20230905213336.039,10.0.3.20,59236,10.0.0.20,5001,3,0.0-11.5,2359296,1643049
4,reno,1000000,10000,700000kbps,connect failed: Network is unreachable
4,reno,1000000,100000,700000kbps,20230905213433.992,10.0.3.20,36212,10.0.0.20,5001,3,0.0-10.8,1966080,1453670
4,cubic,100000,10000,500000kbps,20230905213455.707,10.0.3.20,33320,10.0.0.20,5001,3,0.0-10.7,6422528,4821032
